"Período";"Riesgo País en Puntos Básicos"
"2021-07-01 00:00:00";759
"2021-07-02 00:00:00";757
"2021-07-06 00:00:00";767
"2021-07-07 00:00:00";762
"2021-07-08 00:00:00";774
"2021-07-09 00:00:00";768
"2021-07-12 00:00:00";767
"2021-07-13 00:00:00";764
"2021-07-14 00:00:00";773
"2021-07-15 00:00:00";785
"2021-07-16 00:00:00";782
"2021-07-19 00:00:00";808
"2021-07-20 00:00:00";798
"2021-07-21 00:00:00";781
"2021-07-22 00:00:00";784
"2021-07-23 00:00:00";779
"2021-07-26 00:00:00";783
"2021-07-27 00:00:00";790
"2021-07-28 00:00:00";801
"2021-07-29 00:00:00";790
"2021-07-30 00:00:00";790
"2021-08-02 00:00:00";795
"2021-08-03 00:00:00";795
"2021-08-04 00:00:00";793
"2021-08-05 00:00:00";789
"2021-08-06 00:00:00";782
"2021-08-09 00:00:00";791
"2021-08-10 00:00:00";792
"2021-08-11 00:00:00";798
"2021-08-12 00:00:00";788
"2021-08-13 00:00:00";797
"2021-08-16 00:00:00";806
"2021-08-17 00:00:00";818
"2021-08-18 00:00:00";818
"2021-08-19 00:00:00";823
"2021-08-20 00:00:00";821
"2021-08-23 00:00:00";807
"2021-08-24 00:00:00";788
"2021-08-25 00:00:00";774
"2021-08-26 00:00:00";775
"2021-08-27 00:00:00";775
"2021-08-30 00:00:00";761
"2021-08-31 00:00:00";751
"2021-09-01 00:00:00";749
"2021-09-02 00:00:00";765
"2021-09-03 00:00:00";768
"2021-09-07 00:00:00";762
"2021-09-08 00:00:00";770
"2021-09-09 00:00:00";773
"2021-09-10 00:00:00";771
"2021-09-13 00:00:00";780
"2021-09-14 00:00:00";787
"2021-09-15 00:00:00";787
"2021-09-16 00:00:00";805
"2021-09-17 00:00:00";796
"2021-09-20 00:00:00";827
"2021-09-21 00:00:00";826
"2021-09-22 00:00:00";825
"2021-09-23 00:00:00";837
"2021-09-24 00:00:00";838
"2021-09-27 00:00:00";838
"2021-09-28 00:00:00";837
"2021-09-29 00:00:00";823
"2021-09-30 00:00:00";835
"2021-10-01 00:00:00";859
"2021-10-04 00:00:00";865
"2021-10-05 00:00:00";833
"2021-10-06 00:00:00";816
"2021-10-07 00:00:00";811
"2021-10-08 00:00:00";816
"2021-10-12 00:00:00";826
"2021-10-13 00:00:00";826
"2021-10-14 00:00:00";810
"2021-10-15 00:00:00";795
"2021-10-18 00:00:00";802
"2021-10-19 00:00:00";799
"2021-10-20 00:00:00";815
"2021-10-21 00:00:00";839
"2021-10-22 00:00:00";815
"2021-10-25 00:00:00";824
"2021-10-26 00:00:00";827
"2021-10-27 00:00:00";846
"2021-10-28 00:00:00";837
"2021-10-29 00:00:00";847
"2021-11-01 00:00:00";854
"2021-11-02 00:00:00";854
"2021-11-03 00:00:00";848
"2021-11-04 00:00:00";847
"2021-11-05 00:00:00";852
"2021-11-08 00:00:00";841
"2021-11-09 00:00:00";844
"2021-11-10 00:00:00";834
"2021-11-12 00:00:00";818
"2021-11-15 00:00:00";805
"2021-11-16 00:00:00";806
"2021-11-17 00:00:00";803
"2021-11-18 00:00:00";799
"2021-11-19 00:00:00";796
"2021-11-22 00:00:00";807
"2021-11-23 00:00:00";815
"2021-11-24 00:00:00";823
"2021-11-26 00:00:00";880
"2021-11-29 00:00:00";849
"2021-11-30 00:00:00";891
"2021-12-01 00:00:00";882
"2021-12-02 00:00:00";877
"2021-12-03 00:00:00";888
"2021-12-06 00:00:00";879
"2021-12-07 00:00:00";847
"2021-12-08 00:00:00";837
"2021-12-09 00:00:00";830
"2021-12-10 00:00:00";835
"2021-12-13 00:00:00";843
"2021-12-14 00:00:00";849
"2021-12-15 00:00:00";865
"2021-12-16 00:00:00";873
"2021-12-17 00:00:00";871
"2021-12-20 00:00:00";895
"2021-12-21 00:00:00";880
"2021-12-22 00:00:00";877
"2021-12-23 00:00:00";876
"2021-12-27 00:00:00";877
"2021-12-28 00:00:00";874
"2021-12-29 00:00:00";867
"2021-12-30 00:00:00";871
"2021-12-31 00:00:00";869
"2022-01-03 00:00:00";841
"2022-01-04 00:00:00";825
"2022-01-05 00:00:00";815
"2022-01-06 00:00:00";809
"2022-01-07 00:00:00";794
"2022-01-10 00:00:00";803
"2022-01-11 00:00:00";806
"2022-01-12 00:00:00";806
"2022-01-13 00:00:00";814
"2022-01-14 00:00:00";833
"2022-01-18 00:00:00";868
"2022-01-19 00:00:00";842
"2022-01-20 00:00:00";832
"2022-01-21 00:00:00";829
"2022-01-24 00:00:00";842
"2022-01-25 00:00:00";814
"2022-01-26 00:00:00";797
"2022-01-27 00:00:00";787
"2022-01-28 00:00:00";788
"2022-01-31 00:00:00";768
"2022-02-01 00:00:00";769
"2022-02-02 00:00:00";763
"2022-02-03 00:00:00";766
"2022-02-04 00:00:00";768
"2022-02-07 00:00:00";775
"2022-02-08 00:00:00";785
"2022-02-09 00:00:00";768
"2022-02-10 00:00:00";748
"2022-02-11 00:00:00";757
"2022-02-14 00:00:00";747
"2022-02-15 00:00:00";728
"2022-02-16 00:00:00";730
"2022-02-17 00:00:00";751
"2022-02-18 00:00:00";764
"2022-02-22 00:00:00";773
"2022-02-23 00:00:00";792
"2022-02-24 00:00:00";777
"2022-02-25 00:00:00";746
"2022-02-28 00:00:00";755
"2022-03-01 00:00:00";805
"2022-03-02 00:00:00";788
"2022-03-03 00:00:00";799
"2022-03-04 00:00:00";856
"2022-03-07 00:00:00";895
"2022-03-08 00:00:00";887
"2022-03-09 00:00:00";824
"2022-03-10 00:00:00";774
"2022-03-11 00:00:00";772
"2022-03-14 00:00:00";773
"2022-03-15 00:00:00";787
"2022-03-16 00:00:00";764
"2022-03-17 00:00:00";751
"2022-03-18 00:00:00";758
"2022-03-21 00:00:00";763
"2022-03-22 00:00:00";762
"2022-03-23 00:00:00";777
"2022-03-24 00:00:00";758
"2022-03-25 00:00:00";771
"2022-03-28 00:00:00";778
